Public_Goods,prompt_idx
10.0,8
20.0,2
20.0,2
20.0,4
20.0,2
10.0,8
20.0,6
20.0,2
20.0,4
10.0,8
20.0,2
5.0,9
0.0,0
0.0,0
0.0,0
0.0,0
12.0,1
10.0,5
20.0,2
20.0,2
5.0,9
0.0,0
10.0,5
20.0,4
20.0,2
20.0,4
20.0,2
10.0,5
20.0,6
20.0,2
20.0,2
10.0,8
5.0,9
14.0,1
14.0,1
20.0,2
14.0,1
1.0,7
20.0,4
0.0,0
2.0,7
20.0,2
5.0,9
14.0,1
14.0,1
5.0,9
1.0,7
1.0,7
5.0,9
20.0,2
5.0,9
20.0,4
5.0,9
10.0,8
0.0,0
1.0,7
10.0,5
5.0,9
20.0,2
10.0,8
20.0,6
5.0,9
0.0,0
0.0,0
14.0,1
0.0,0
5.0,9
10.0,5
14.0,1
10.0,5
20.0,2
14.0,1
10.0,8
20.0,2
20.0,2
1.0,7
12.0,1
12.0,1
1.0,7
2.0,7
20.0,2
20.0,4
15.0,1
5.0,9
0.0,0
20.0,4
0.0,0
20.0,2
0.0,0
20.0,2
0.0,0
20.0,2
20.0,2
10.0,5
20.0,2
0.0,0
20.0,2
20.0,2
0.0,0
20.0,2
20.0,2
10.0,5
20.0,2
20.0,2
10.0,8
14.0,1
1.0,7
20.0,2
1.0,7
20.0,2
5.0,9
0.0,0
1.0,7
20.0,3
5.0,9
20.0,2
1.0,7
1.0,7
20.0,2
5.0,9
20.0,2
1.0,7
20.0,2
20.0,4
14.0,1
