Public_Goods,prompt_idx
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
20.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
10.0,0
10.0,0
10.0,0
10.0,0
20.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
12.0,0
15.0,0
15.0,0
20.0,0
12.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
12.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
20.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
12.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
20.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
12.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
12.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
20.0,0
10.0,0
15.0,0
20.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
12.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
20.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
12.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
20.0,0
12.0,0
10.0,0
12.0,0
12.0,0
20.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
12.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
12.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
12.0,0
10.0,0
10.0,0
10.0,0
10.0,0
20.0,0
15.0,0
12.0,0
10.0,0
10.0,0
10.0,0
10.0,0
12.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
12.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
20.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
20.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
12.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
12.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
10.0,0
15.0,0
12.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
10.0,0
12.0,0
15.0,0
15.0,0
15.0,0
12.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
15.0,0
10.0,0
10.0,0
10.0,0
15.0,0
10.0,0
15.0,0
10.0,0
10.0,0
12.0,0
