Public_Goods,prompt_idx
13.0,2
0.0,9
5.0,4
13.0,2
20.0,3
9.0,0
13.0,2
15.0,13
4.0,7
9.0,0
20.0,3
0.0,37
9.0,0
20.0,19
13.0,2
20.0,19
15.0,13
4.0,7
4.0,7
0.0,9
0.0,37
5.0,4
9.0,0
13.0,2
16.0,43
20.0,19
9.0,0
5.0,4
4.0,7
4.0,7
9.0,0
0.0,9
5.0,4
2.0,8
9.0,0
20.0,19
9.0,0
20.0,19
4.0,7
15.0,13
5.0,4
20.0,3
4.0,7
5.0,4
9.0,0
4.0,7
9.0,0
13.0,2
13.0,2
9.0,0
4.0,7
13.0,2
0.0,9
16.0,43
4.0,7
0.0,37
9.0,0
13.0,2
2.0,8
9.0,0
9.0,0
9.0,0
20.0,3
13.0,2
5.0,4
2.0,8
20.0,3
9.0,0
5.0,4
15.0,13
9.0,0
15.0,13
15.0,13
20.0,19
9.0,0
4.0,7
20.0,19
4.0,7
4.0,7
9.0,0
9.0,0
13.0,2
13.0,2
5.0,4
20.0,19
9.0,0
4.0,7
9.0,0
20.0,3
9.0,0
20.0,3
20.0,19
15.0,13
15.0,13
4.0,7
20.0,19
2.0,8
9.0,0
9.0,0
9.0,0
13.0,2
9.0,0
5.0,4
13.0,2
5.0,4
9.0,0
9.0,0
13.0,2
13.0,2
9.0,0
15.0,13
20.0,19
9.0,0
9.0,0
9.0,0
4.0,7
20.0,19
13.0,2
2.0,8
0.0,9
20.0,19
20.0,19
4.0,7
13.0,2
4.0,7
20.0,19
4.0,7
4.0,7
0.0,9
0.0,16
13.0,2
20.0,19
9.0,0
20.0,3
20.0,3
4.0,7
13.0,2
9.0,0
9.0,0
0.0,16
9.0,0
4.0,7
9.0,0
9.0,0
13.0,2
5.0,4
0.0,9
0.0,9
9.0,0
0.0,9
9.0,0
13.0,2
13.0,2
0.0,37
9.0,0
20.0,19
13.0,2
9.0,0
5.0,4
20.0,3
0.0,9
20.0,19
2.0,8
15.0,13
9.0,0
9.0,0
20.0,3
0.0,9
4.0,7
9.0,0
9.0,0
9.0,0
9.0,0
9.0,0
9.0,0
9.0,0
9.0,0
0.0,9
9.0,0
20.0,3
13.0,2
13.0,2
9.0,0
2.0,8
0.0,9
2.0,8
5.0,4
0.0,37
15.0,13
9.0,0
9.0,0
9.0,0
4.0,7
13.0,2
15.0,13
9.0,0
4.0,7
20.0,19
13.0,2
20.0,19
9.0,0
2.0,8
15.0,13
13.0,2
16.0,43
2.0,8
9.0,0
9.0,0
13.0,2
9.0,0
9.0,0
0.0,16
2.0,8
16.0,43
9.0,0
9.0,0
9.0,0
0.0,9
15.0,13
13.0,2
0.0,37
9.0,0
5.0,4
0.0,9
9.0,0
9.0,0
5.0,4
13.0,2
15.0,13
13.0,2
9.0,0
9.0,0
9.0,0
13.0,2
9.0,0
9.0,0
2.0,8
0.0,9
4.0,7
0.0,37
9.0,0
9.0,0
13.0,2
15.0,13
9.0,0
13.0,2
13.0,2
4.0,7
9.0,0
20.0,3
0.0,37
5.0,4
13.0,2
0.0,9
9.0,0
5.0,4
13.0,2
4.0,7
9.0,0
9.0,0
20.0,3
20.0,3
2.0,8
0.0,9
4.0,7
20.0,19
13.0,2
9.0,0
0.0,37
2.0,8
9.0,0
16.0,43
4.0,7
0.0,37
20.0,3
9.0,0
13.0,2
9.0,0
9.0,0
20.0,3
9.0,0
13.0,2
9.0,0
9.0,0
9.0,0
5.0,4
20.0,3
2.0,8
15.0,13
20.0,19
0.0,37
20.0,19
9.0,0
5.0,4
9.0,0
20.0,19
13.0,2
9.0,0
20.0,3
4.0,7
9.0,0
9.0,0
2.0,8
20.0,3
20.0,3
5.0,4
15.0,13
9.0,0
9.0,0
20.0,3
9.0,0
20.0,3
20.0,3
9.0,0
20.0,19
4.0,7
5.0,4
9.0,0
5.0,4
4.0,7
15.0,13
2.0,8
0.0,9
9.0,0
13.0,2
20.0,19
9.0,0
9.0,0
0.0,37
0.0,9
4.0,7
20.0,3
9.0,0
20.0,3
20.0,3
0.0,9
9.0,0
0.0,37
20.0,3
9.0,0
9.0,0
5.0,4
20.0,3
9.0,0
9.0,0
0.0,37
4.0,7
2.0,8
9.0,0
20.0,3
13.0,2
5.0,4
16.0,43
9.0,0
0.0,9
2.0,8
4.0,7
9.0,0
20.0,19
9.0,0
9.0,0
9.0,0
20.0,19
9.0,0
20.0,19
0.0,9
4.0,7
0.0,9
9.0,0
20.0,3
13.0,2
13.0,2
9.0,0
20.0,3
9.0,0
4.0,7
5.0,4
9.0,0
20.0,19
9.0,0
9.0,0
20.0,19
5.0,4
9.0,0
9.0,0
15.0,13
9.0,0
0.0,37
9.0,0
9.0,0
9.0,0
9.0,0
9.0,0
13.0,2
13.0,2
20.0,19
13.0,2
2.0,8
9.0,0
9.0,0
9.0,0
4.0,7
4.0,7
2.0,8
13.0,2
13.0,2
9.0,0
20.0,19
15.0,13
9.0,0
20.0,19
0.0,37
2.0,8
15.0,13
2.0,8
2.0,8
15.0,13
20.0,3
9.0,0
20.0,19
4.0,7
9.0,0
9.0,0
0.0,9
9.0,0
5.0,4
2.0,8
4.0,7
5.0,4
5.0,4
9.0,0
5.0,4
5.0,4
0.0,37
2.0,8
0.0,16
2.0,8
9.0,0
9.0,0
13.0,2
20.0,3
9.0,0
5.0,4
9.0,0
0.0,9
9.0,0
20.0,3
9.0,0
0.0,9
20.0,3
9.0,0
13.0,2
9.0,0
13.0,2
13.0,2
9.0,0
9.0,0
20.0,19
13.0,2
0.0,9
9.0,0
15.0,13
4.0,7
13.0,2
2.0,8
13.0,2
9.0,0
2.0,8
9.0,0
9.0,0
15.0,13
0.0,9
5.0,4
5.0,4
9.0,0
0.0,9
2.0,8
13.0,2
9.0,0
9.0,0
0.0,9
9.0,0
0.0,16
5.0,4
15.0,13
0.0,37
9.0,0
13.0,2
2.0,8
2.0,8
9.0,0
20.0,19
15.0,13
4.0,7
13.0,2
13.0,2
5.0,4
9.0,0
9.0,0
13.0,2
20.0,19
2.0,8
13.0,2
2.0,8
0.0,37
2.0,8
4.0,7
13.0,2
20.0,19
4.0,7
4.0,7
0.0,37
2.0,8
9.0,0
9.0,0
2.0,8
9.0,0
2.0,8
0.0,37
0.0,37
9.0,0
13.0,2
20.0,3
13.0,2
9.0,0
2.0,8
0.0,37
2.0,8
4.0,7
2.0,8
4.0,7
9.0,0
9.0,0
13.0,2
13.0,2
4.0,7
9.0,0
9.0,0
5.0,4
20.0,3
9.0,0
9.0,0
13.0,2
13.0,2
13.0,2
9.0,0
5.0,4
5.0,4
9.0,0
20.0,3
20.0,3
20.0,3
9.0,0
13.0,2
0.0,16
13.0,2
0.0,9
9.0,0
2.0,8
9.0,0
9.0,0
20.0,3
9.0,0
9.0,0
9.0,0
4.0,7
13.0,2
0.0,37
2.0,8
9.0,0
13.0,2
0.0,37
20.0,3
20.0,3
5.0,4
5.0,4
9.0,0
9.0,0
0.0,37
15.0,13
13.0,2
13.0,2
9.0,0
13.0,2
16.0,43
9.0,0
15.0,13
4.0,7
2.0,8
9.0,0
15.0,13
2.0,8
20.0,3
4.0,7
20.0,19
13.0,2
9.0,0
15.0,13
13.0,2
9.0,0
0.0,9
20.0,3
4.0,7
0.0,37
13.0,2
13.0,2
4.0,7
0.0,9
9.0,0
20.0,3
9.0,0
2.0,8
5.0,4
5.0,4
5.0,4
13.0,2
0.0,9
9.0,0
9.0,0
9.0,0
15.0,13
9.0,0
5.0,4
20.0,19
9.0,0
2.0,8
0.0,37
9.0,0
20.0,3
13.0,2
20.0,19
2.0,8
2.0,8
5.0,4
0.0,9
13.0,2
9.0,0
20.0,3
13.0,2
2.0,8
13.0,2
9.0,0
5.0,4
9.0,0
13.0,2
13.0,2
4.0,7
15.0,13
0.0,9
9.0,0
20.0,3
2.0,8
9.0,0
9.0,0
5.0,4
9.0,0
20.0,3
20.0,3
9.0,0
13.0,2
15.0,13
13.0,2
15.0,13
4.0,7
5.0,4
4.0,7
0.0,9
2.0,8
9.0,0
9.0,0
13.0,2
4.0,7
9.0,0
9.0,0
5.0,4
9.0,0
2.0,8
9.0,0
9.0,0
20.0,3
15.0,13
4.0,7
0.0,9
15.0,13
13.0,2
9.0,0
9.0,0
4.0,7
0.0,37
9.0,0
9.0,0
2.0,8
4.0,7
20.0,3
2.0,8
0.0,9
13.0,2
9.0,0
9.0,0
13.0,2
20.0,19
20.0,19
4.0,7
4.0,7
9.0,0
13.0,2
5.0,4
20.0,19
9.0,0
9.0,0
9.0,0
4.0,7
15.0,13
2.0,8
4.0,7
13.0,2
9.0,0
4.0,7
20.0,19
9.0,0
13.0,2
9.0,0
13.0,2
13.0,2
13.0,2
16.0,43
2.0,8
16.0,43
0.0,37
4.0,7
15.0,13
9.0,0
5.0,4
9.0,0
4.0,7
13.0,2
9.0,0
